name,type,parish,code,longitude,latitude
Fond St. Jean,Rural,St. Patrick,DM08,-61.25310654,15.48985948
Grandbay,Rural,St. Patrick,DM08,-61.423991,15.40627748
Hagley,hamlet,St. Patrick,DM08,-61.384642,15.310213
La Plaine,Rural,St. Patrick,DM08,-61.293483,15.245703
Laroche,hamlet,St. Patrick,DM08,-61.355316,15.360152
Laronde,Rural,St. Patrick,DM08,-61.461224,15.597765
Montine,hamlet,St. Patrick,DM08,-61.3852373,15.308172
Petite Savane,Rural,St. Patrick,DM08,-61.414912,15.388752
Pichelin,Rural,St. Patrick,DM08,-61.395708,15.592569
Tete Morne,Rural,St. Patrick,DM08,-61.340449,15.235937
Victoria,hamlet,St. Patrick,DM08,-61.3970335,15.59983767
Bon Repos,Rural,St. Paul,DM09,-61.463856,15.609527
Campbell,Rural,St. Paul,DM09,-61.347473,15.323793
Canefield,Suburban,St. Paul,DM09,-61.252387,15.4309222
Check Hall,Suburban,St. Paul,DM09,-61.421016,15.629113
Cochrane,Rural,St. Paul,DM09,-61.268645,15.289962
Corona,Rural,St. Paul,DM09,-61.4057312,15.61433113
Jimmit,Suburban,St. Paul,DM09,-61.370647,15.281067
Mahaut,Suburban,St. Paul,DM09,-61.393818,15.391694
Massacre,Suburban,St. Paul,DM09,-61.31135115,15.56460674
Morne Daniel,Suburban,St. Paul,DM09,-61.3293559,15.58304827
Mount Joy,Rural,St. Paul,DM09,-61.33944321,15.31735592
Pond Casse,Rural,St. Paul,DM09,-61.3797996,15.3084424
River Estate,Suburban,St. Paul,DM09,-61.450965,15.57816
Springfield,Rural,St. Paul,DM09,-61.451504,15.577577
Sylvania,Rural,St. Paul,DM09,-61.444265,15.445973
Tarreau,Rural,St. Paul,DM09,-61.457416,15.580746
Warner,Rural,St. Paul,DM09,-61.323062,15.236102
Coco Bottom,Suburban,St. Paul,DM09,-61.319307,15.24571
Bioche,Rural,St. Peter,DM10,-61.406988,15.588927
Colihaut,Rural,St. Peter,DM10,-61.410419,15.596033
Dublanc,Rural,St. Peter,DM10,-61.383175,15.340263
